site,mg,mg2,cultivar,phenology,date,phenology.num,yield,pd,author
Stoneville,5.3,early5,AG5332,R2,7/20/2012,5,3958.941197,6/6/2012,Salmeron
Stoneville,5.3,early5,AG5332,R5,8/16/2012,8,3958.941197,6/6/2012,Salmeron
Stoneville,5.3,early5,AG5332,R6,8/29/2012,9,3958.941197,6/6/2012,Salmeron
Stoneville,5.3,early5,AG5332,R7,10/2/2012,10,3958.941197,6/6/2012,Salmeron
Stoneville,5.3,early5,AG5332,R8,10/29/2012,11,3958.941197,6/6/2012,Salmeron
Stoneville,5.8,late5,5811,VE,6/13/2012,1,2853.770853,6/6/2012,Salmeron
Stoneville,5.8,late5,5811,R1,7/24/2012,4,2853.770853,6/6/2012,Salmeron
Stoneville,5.8,late5,5811,R2,8/3/2012,5,2853.770853,6/6/2012,Salmeron
Stoneville,5.8,late5,5811,R5,8/20/2012,8,2853.770853,6/6/2012,Salmeron
Stoneville,5.8,late5,5811,R6,9/2/2012,9,2853.770853,6/6/2012,Salmeron
Stoneville,5.8,late5,5811,R7,10/4/2012,10,2853.770853,6/6/2012,Salmeron
Stoneville,5.8,late5,5811,R8,10/29/2012,11,2853.770853,6/6/2012,Salmeron
Stoneville,7,early7,HBKR7028,VE,6/13/2012,1,3232.566521,6/6/2012,Salmeron
Stoneville,7,early7,HBKR7028,R1,7/31/2012,4,3232.566521,6/6/2012,Salmeron
Stoneville,7,early7,HBKR7028,R2,8/6/2012,5,3232.566521,6/6/2012,Salmeron
Stoneville,7,early7,HBKR7028,R5,8/25/2012,8,3232.566521,6/6/2012,Salmeron
Stoneville,7,early7,HBKR7028,R6,9/4/2012,9,3232.566521,6/6/2012,Salmeron
Stoneville,7,early7,HBKR7028,R7,10/9/2012,10,3232.566521,6/6/2012,Salmeron
Stoneville,7,early7,HBKR7028,R8,11/7/2012,11,3232.566521,6/6/2012,Salmeron
Stoneville,6.7,late6,AG6732,VE,6/13/2012,1,3898.783198,6/6/2012,Salmeron
Stoneville,6.7,late6,AG6732,R1,7/28/2012,4,3898.783198,6/6/2012,Salmeron
Stoneville,6.7,late6,AG6732,R2,8/3/2012,5,3898.783198,6/6/2012,Salmeron
Stoneville,6.7,late6,AG6732,R5,8/23/2012,8,3898.783198,6/6/2012,Salmeron
Stoneville,6.7,late6,AG6732,R6,9/4/2012,9,3898.783198,6/6/2012,Salmeron
Stoneville,6.7,late6,AG6732,R7,10/9/2012,10,3898.783198,6/6/2012,Salmeron
Stoneville,6.7,late6,AG6732,R8,11/7/2012,11,3898.783198,6/6/2012,Salmeron
Stoneville,6.6,late6,P96M60,VE,6/13/2012,1,4071.090413,6/6/2012,Salmeron
Stoneville,6.6,late6,P96M60,R1,7/31/2012,4,4071.090413,6/6/2012,Salmeron
Stoneville,6.6,late6,P96M60,R2,8/6/2012,5,4071.090413,6/6/2012,Salmeron
Stoneville,6.6,late6,P96M60,R5,8/23/2012,8,4071.090413,6/6/2012,Salmeron
Stoneville,6.6,late6,P96M60,R6,9/4/2012,9,4071.090413,6/6/2012,Salmeron
Stoneville,6.6,late6,P96M60,R7,10/9/2012,10,4071.090413,6/6/2012,Salmeron
Stoneville,6.6,late6,P96M60,R8,11/7/2012,11,4071.090413,6/6/2012,Salmeron
Stoneville,6.2,early6,6202-4,VE,6/13/2012,1,3942.730504,6/6/2012,Salmeron
Stoneville,6.2,early6,6202-4,R1,7/31/2012,4,3942.730504,6/6/2012,Salmeron
Stoneville,6.2,early6,6202-4,R2,8/6/2012,5,3942.730504,6/6/2012,Salmeron
